Time;Policy;Finalization Status;CPU core Energy;Transfer Energy;CPU core Time;Transfer Time;Cost
236156;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
237706;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
237727;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
238916;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
239095;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
239944;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
240105;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
242174;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
242659;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
245117;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
246576;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
248517;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
248962;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
250027;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
250151;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
250226;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
253914;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
256342;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
257173;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
257913;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
260611;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
261659;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
265692;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
265775;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
265799;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
266402;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
266701;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
266750;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
267618;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
267725;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
268111;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
270536;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
272047;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
272686;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
274141;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
274349;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
274732;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
276411;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
276862;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
277579;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
278107;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
278847;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
281224;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
281607;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
282141;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
282306;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
284926;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
285618;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
286092;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
286704;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
290341;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
290783;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
292221;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
292820;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
295075;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
295255;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
295389;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
296222;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
296357;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
297049;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
297119;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
299264;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
299520;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
300257;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
300388;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
301015;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
301536;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
303872;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
304581;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
306043;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
308180;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
310466;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
311116;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
311291;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
312038;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
312469;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
314853;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
315539;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
315771;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
316142;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
316165;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
318546;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
319687;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
319914;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
320350;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
321727;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
321787;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
321835;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
