Tempo;Politica;Status Finalizacao;Energia CPU;Energia Transmissoes;Tempo CPU;Tempo Transmissoes;Custo
63027;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63299;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63409;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63614;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63722;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63737;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63822;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
63939;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
64012;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
64245;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
64360;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
64418;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
64513;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
64656;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
64673;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
65119;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
65174;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
65176;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
65370;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
65387;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66193;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66518;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66681;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
66709;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
66862;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67073;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67220;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67332;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67642;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67655;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
67895;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68015;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68120;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68403;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
68410;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68620;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68635;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68806;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68819;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
68917;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69148;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69386;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69716;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
69729;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
70391;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
70462;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
70747;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
71002;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
71584;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
71622;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
72265;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
72512;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
73815;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
73882;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
73949;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
73951;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
74011;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
74184;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
74281;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
74341;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
74862;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
74866;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
75216;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
75621;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
75624;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
75783;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
75915;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
75998;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
76016;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
76191;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
77606;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
77869;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
78227;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
78413;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
78421;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
78492;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
78786;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
78855;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
78990;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
79172;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
79333;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
79446;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80214;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80262;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80286;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80386;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80669;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80780;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
80844;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
81126;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
81168;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
81187;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
81213;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
81227;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
81614;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
82326;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
82677;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
82766;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
82858;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
82957;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
82978;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
83010;POLICY1_IOT;TASK_CONCLUDED;11000;0;12500;0;11300
83028;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
83457;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
83545;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
83710;POLICY1_IOT;TASK_CONCLUDED;7040;0;25000;0;10632
